iter	RMSE
0	3.754207543
1	3.594192067
2	3.450444885
3	3.330606835
4	3.221700038
5	3.120846193
6	3.047111475
7	2.969729685
8	2.902959658
9	2.849446694
10	2.79725065
11	2.751453875
12	2.702161214
13	2.664427862
14	2.62817394
15	2.596546579
16	2.566955405
17	2.54297514
18	2.516657696
19	2.494815429
20	2.473421929
21	2.457072646
22	2.439114162
23	2.425361816
24	2.407720276
25	2.391339394
26	2.376471648
27	2.365129163
28	2.352524279
29	2.338322129
30	2.327147343
31	2.319016089
32	2.30634264
33	2.29863792
34	2.28643036
35	2.27789867
36	2.266852276
37	2.256994564
38	2.249253424
39	2.24002184
40	2.228936451
41	2.220472866
42	2.209006381
43	2.202537156
44	2.193110418
45	2.188266496
46	2.182934153
47	2.178091959
48	2.169258723
49	2.161771375
50	2.156876155
51	2.147809795
52	2.140578907
53	2.131986151
54	2.128849992
55	2.123052963
56	2.118939397
57	2.111663204
58	2.107807902
59	2.102049183
60	2.097682139
61	2.093693047
62	2.087488638
63	2.083531157
64	2.081109309
65	2.071922482
66	2.069181756
67	2.064518719
68	2.061435879
69	2.058914258
70	2.057692041
71	2.053703137
72	2.051687067
73	2.047374204
74	2.045225923
75	2.042196017
76	2.040263564
77	2.036293992
78	2.034668147
79	2.032184172
80	2.02810862
81	2.023303281
82	2.022489382
83	2.019517937
84	2.016288596
85	2.014736737
86	2.010091642
87	2.008908989
88	2.008138357
89	2.006371827
90	2.003257454
91	1.996069057
92	1.99282627
93	1.99215491
94	1.988926397
95	1.986954814
96	1.986365248
97	1.984485151
98	1.983895338
99	1.981538478
100	1.978182587
101	1.977658402
102	1.977129328
103	1.97223389
104	1.971752588
105	1.970127581
106	1.969126474
107	1.965208245
108	1.963689633
109	1.957749268
110	1.957006611
111	1.956603145
112	1.952145725
113	1.951654543
114	1.950641915
115	1.948700929
116	1.947311254
117	1.94523777
118	1.942340094
119	1.940637075
120	1.937970156
121	1.936859469
122	1.933306928
123	1.932650417
124	1.93201709
125	1.931107466
126	1.929018787
127	1.928280256
128	1.92381874
129	1.92144546
130	1.9196029
131	1.916941808
132	1.915964555
133	1.914716236
134	1.911450768
135	1.910126321
136	1.909241453
137	1.908388021
138	1.907441863
139	1.902391736
140	1.902047148
141	1.901737111
142	1.901463115
143	1.901205209
144	1.900683941
145	1.89911296
146	1.898932428
147	1.898150952
148	1.896064974
149	1.894160437
150	1.893840059
151	1.893691808
152	1.890528182
153	1.887001825
154	1.883778423
155	1.883441191
156	1.88320366
157	1.882560595
158	1.880653438
159	1.877071711
160	1.876060399
161	1.875686795
162	1.875282056
163	1.873933914
164	1.873717143
165	1.873377057
166	1.869973825
167	1.868908687
168	1.866929567
169	1.86658264
170	1.866378434
171	1.866146461
172	1.864063478
173	1.863106524
174	1.862131773
175	1.861890719
176	1.861319386
177	1.858901821
178	1.857495165
179	1.85716582
180	1.85540069
181	1.85392285
182	1.851731176
183	1.850812443
184	1.849667467
185	1.846867971
186	1.846582825
187	1.845917625
188	1.84380414
189	1.843418766
190	1.842583514
191	1.842481205
192	1.842396139
193	1.840701034
194	1.840180605
195	1.839986564
196	1.83953835
197	1.838723539
198	1.838373166
199	1.838191144
200	1.837899586
201	1.837657032
202	1.837427144
203	1.835675153
204	1.835350528
205	1.835148894
206	1.834426851
207	1.833344315
208	1.832897484
209	1.831231193
210	1.828327068
211	1.828265911
212	1.828151652
213	1.82760133
214	1.827432523
215	1.826844774
216	1.826427559
217	1.826284448
218	1.82391317
219	1.822950351
220	1.8225992
221	1.821367426
222	1.821244797
223	1.820825661
224	1.818319671
225	1.817829374
226	1.816434194
227	1.816383741
228	1.815904404
229	1.815801518
230	1.814257629
231	1.814065681
232	1.813585143
233	1.812941544
234	1.812776566
235	1.811274823
236	1.811191722
237	1.808719848
238	1.808649762
239	1.808249621
240	1.80815323
241	1.808110204
242	1.80806644
243	1.807982639
244	1.807922333
245	1.807304434
246	1.806436389
247	1.806378273
248	1.806129237
249	1.805989982
250	1.80580191
251	1.805592431
252	1.805260492
253	1.805183583
254	1.805115896
255	1.805065018
256	1.79947771
257	1.799410274
258	1.798679085
259	1.79859455
260	1.79794228
261	1.79711561
262	1.7962446
263	1.795487487
264	1.794869233
265	1.79430281
266	1.793899314
267	1.793270852
268	1.792340539
269	1.791955734
270	1.79071359
271	1.790087914
272	1.789912169
273	1.789578877
274	1.788884679
275	1.787920237
276	1.78738371
277	1.786462649
278	1.786437378
279	1.786396379
280	1.78623469
281	1.785085152
282	1.781282172
283	1.781111372
284	1.780434692
285	1.779515779
286	1.779302541
287	1.779170205
288	1.778521506
289	1.777999994
290	1.777636629
291	1.776985935
292	1.774991893
293	1.774958004
294	1.77493136
295	1.774902447
296	1.774050772
297	1.773610964
298	1.770152968
299	1.770126292
300	1.769484404
301	1.769062951
302	1.767672992
303	1.767205936
304	1.766511505
305	1.766095626
306	1.765927037
307	1.765876957
308	1.764632626
309	1.764130103
310	1.762480947
311	1.761182723
312	1.760714686
313	1.760627754
314	1.760361574
315	1.759825171
316	1.758800868
317	1.758480786
318	1.758112647
319	1.756913165
320	1.756770908
