iter	Passed	Remaining
0	4	2164
1	7	1794
2	9	1548
3	11	1428
4	13	1332
5	16	1333
6	18	1287
7	20	1246
8	22	1241
9	24	1214
10	26	1193
11	28	1176
12	31	1195
13	33	1175
14	36	1171
15	38	1153
16	40	1136
17	43	1156
18	45	1160
19	47	1149
20	51	1166
21	53	1161
22	56	1180
23	59	1176
24	62	1184
25	64	1169
26	65	1155
27	68	1154
28	70	1141
29	74	1159
30	76	1153
31	78	1153
32	80	1144
33	86	1181
34	89	1191
35	93	1200
36	97	1216
37	100	1218
38	102	1216
39	106	1220
40	108	1216
41	111	1212
42	113	1210
43	115	1202
44	118	1196
45	120	1193
46	123	1186
47	125	1184
48	128	1179
49	132	1195
50	136	1203
51	142	1224
52	145	1228
53	148	1224
54	151	1223
55	157	1251
56	160	1248
57	165	1262
58	174	1302
59	178	1311
60	181	1309
61	184	1305
62	187	1297
63	190	1298
64	192	1289
65	195	1284
66	198	1279
67	201	1277
68	203	1271
69	206	1267
70	208	1260
71	211	1256
72	215	1258
73	217	1252
74	220	1250
75	225	1256
76	227	1251
77	230	1248
78	232	1240
79	235	1236
80	238	1234
81	241	1231
82	244	1226
83	246	1221
84	249	1216
85	251	1211
86	254	1207
87	256	1198
88	258	1195
89	261	1189
90	264	1187
91	266	1183
92	269	1177
93	270	1167
94	272	1161
95	274	1154
96	275	1144
97	277	1139
98	278	1129
99	280	1123
100	282	1117
101	285	1114
102	287	1107
103	289	1103
104	290	1094
105	292	1087
106	294	1081
107	297	1078
108	298	1072
109	301	1069
110	304	1066
111	305	1058
112	307	1051
113	308	1046
114	311	1041
115	315	1045
116	317	1040
117	320	1036
118	325	1043
119	327	1038
120	331	1037
121	333	1033
122	336	1030
123	340	1033
124	343	1030
125	345	1025
126	347	1021
127	349	1015
128	351	1011
129	355	1011
130	357	1007
131	360	1004
132	362	1000
133	364	995
134	366	992
135	369	987
136	371	983
137	372	977
138	374	973
139	376	968
140	378	964
141	380	959
142	382	955
143	384	950
144	386	947
145	388	943
146	390	938
147	392	934
148	394	930
149	396	925
150	398	920
151	400	916
152	402	912
153	403	907
154	406	903
155	407	899
156	409	895
157	411	890
158	413	886
159	415	881
160	416	878
161	418	873
162	420	869
163	422	865
164	424	861
165	426	858
166	428	854
167	430	850
168	432	846
169	434	843
170	436	839
171	438	835
172	440	832
173	442	828
174	448	832
175	450	829
176	452	825
177	454	821
178	456	818
179	457	814
180	459	810
181	461	806
182	463	803
183	465	799
184	467	796
185	469	792
186	471	789
187	473	785
188	475	782
189	477	779
190	479	776
191	481	773
192	483	769
193	485	765
194	487	762
195	489	759
196	491	755
197	493	752
198	495	748
199	497	746
200	499	742
201	500	738
202	502	735
203	504	731
204	506	728
205	507	724
206	509	721
207	511	718
208	513	715
209	515	712
210	517	709
211	519	705
212	521	702
213	523	699
214	525	696
215	527	693
216	529	690
217	531	687
218	533	684
219	535	681
220	537	678
221	539	675
222	540	671
223	543	669
224	545	666
225	547	663
226	549	660
227	551	657
228	552	654
229	554	651
230	557	649
231	560	646
232	562	644
233	565	642
234	567	639
235	569	636
236	571	634
237	574	632
238	576	629
239	578	626
240	580	623
241	581	620
242	583	616
243	585	614
244	587	611
245	589	608
246	591	605
247	592	602
248	595	599
249	596	596
250	598	594
251	600	591
252	603	588
253	605	586
254	607	584
255	611	582
256	613	579
257	615	577
258	617	574
259	620	573
260	623	570
261	625	567
262	627	565
263	628	562
264	630	559
265	632	556
266	634	553
267	636	551
268	640	550
269	642	547
270	645	545
271	647	542
272	650	540
273	654	539
274	657	537
275	659	535
276	661	532
277	663	530
278	665	527
279	667	524
280	669	522
281	671	519
282	674	516
283	676	514
284	678	511
285	680	508
286	682	506
287	684	503
288	686	501
289	689	499
290	691	496
291	694	494
292	696	491
293	697	489
294	700	486
295	702	483
296	703	481
297	706	479
298	708	476
299	710	473
300	712	471
301	714	468
302	717	466
303	719	464
304	721	461
305	723	458
306	725	455
307	727	453
308	729	450
309	731	448
310	733	446
311	735	443
312	738	440
313	740	438
314	742	435
315	744	433
316	746	430
317	747	427
318	749	425
319	751	422
320	753	420
321	755	417
322	757	415
323	759	412
324	761	410
325	763	407
326	765	404
327	767	402
328	769	399
329	770	397
330	772	394
331	774	392
332	776	389
333	778	386
334	780	384
335	782	382
336	784	379
337	786	377
338	788	374
339	790	372
340	792	369
341	794	367
342	797	364
343	799	362
344	801	359
345	802	357
346	804	354
347	807	352
348	809	350
349	811	347
350	813	345
351	815	342
352	817	340
353	819	337
354	821	335
355	823	332
356	825	330
357	827	328
358	829	325
359	830	323
360	833	320
361	835	318
362	836	315
363	839	313
364	841	311
365	843	308
366	844	306
367	846	303
368	848	301
369	850	298
370	852	296
371	854	293
372	855	291
373	857	288
374	859	286
375	861	284
376	863	281
377	865	279
378	867	277
379	869	274
380	871	272
381	873	269
382	875	267
383	879	265
384	881	263
385	883	260
386	885	258
387	888	256
388	890	254
389	892	251
390	895	249
391	897	247
392	898	244
393	901	242
394	903	240
395	905	237
396	908	235
397	911	233
398	913	231
399	915	228
400	916	226
401	919	224
402	921	221
403	923	219
404	926	217
405	928	214
406	929	212
407	931	210
408	934	207
409	936	205
410	938	203
411	941	201
412	943	198
413	945	196
414	947	194
415	949	191
416	951	189
417	953	187
418	957	185
419	959	182
420	961	180
421	962	177
422	964	175
423	966	173
424	968	170
425	970	168
426	972	166
427	976	164
428	978	161
429	980	159
430	982	157
431	985	155
432	987	152
433	989	150
434	991	148
435	993	145
436	995	143
437	998	141
438	1000	138
439	1001	136
440	1003	134
441	1005	131
442	1007	129
443	1009	127
444	1011	125
445	1014	122
446	1016	120
447	1018	118
448	1020	115
449	1022	113
450	1024	111
451	1025	108
452	1027	106
453	1029	104
454	1031	102
455	1033	99
456	1035	97
457	1037	95
458	1039	92
459	1041	90
460	1043	88
461	1045	86
462	1049	83
463	1052	81
464	1054	79
465	1056	77
466	1058	74
467	1060	72
468	1062	70
469	1063	67
470	1069	65
471	1071	63
472	1074	61
473	1075	59
474	1077	56
475	1079	54
476	1081	52
477	1083	49
478	1085	47
479	1087	45
480	1089	43
481	1091	40
482	1093	38
483	1095	36
484	1097	33
485	1099	31
486	1101	29
487	1103	27
488	1106	24
489	1108	22
490	1110	20
491	1113	18
492	1115	15
493	1117	13
494	1120	11
495	1123	9
496	1126	6
497	1128	4
498	1130	2
499	1132	0
